Size	   Bubble Sort	Selection Sort	Insertion Sort
50	78299.586	25220.225	49697.824
100	60453.836	20187.324	128175.06
150	98038.76	53569.48	28658.664
200	131885.3	50309.39	31038.9
250	196035.2	74118.68	46454.773
300	282372.56	104559.45	66168.45
350	369603.84	140429.44	90737.76
400	452915.4	172111.3	105146.87
450	555816.9	204346.84	126311.14
500	732030.6	267797.75	167032.9
550	844183.5	309030.72	191055.95
600	991941.06	360125.6	225011.58
650	1209567.6	439585.25	276847.1
700	1347450.9	486520.28	304928.25
750	1550031.6	564938.8	352756.6
800	1772261.9	643244.9	407870.47
850	1973912.1	718347.2	447596.7
900	2205766.2	795799.75	505463.75
950	2472230.0	910280.25	566250.94
1000	2700832.2	983263.44	621375.94
